q	Afinidade
0.1	0.003
0.2	0.009
0.3	0.015
0.4	0.022
0.5	0.030
0.6	0.040
0.7	0.050
0.8	0.063
0.9	0.079
1.0	0.099
1.2	0.157
1.4	0.250
1.6	0.382
1.8	0.518
2.0	0.621
2.2	0.685
2.4	0.731
2.6	0.757
2.8	0.784
3.0	0.804
3.2	0.822
3.4	0.836
3.6	0.847
3.8	0.859
4.0	0.870
4.2	0.878
4.4	0.888
4.6	0.892
4.8	0.897
5.0	0.902
5.2	0.907
5.4	0.912
5.6	0.923
5.8	0.918
6.0	0.921
6.2	0.927
6.4	0.933
6.6	0.934
6.8	0.938
7.0	0.933
7.2	0.943
7.4	0.940
7.6	0.947
7.8	0.946
8.0	0.948
8.2	0.951
8.4	0.955
8.6	0.952
8.8	0.951
9.0	0.952
9.2	0.949
9.4	0.959
9.6	0.960
9.8	0.962
10.0	0.964
