q	Derivada
0.15	0.04268
0.25	0.04143
0.35	0.05066
0.45	0.06114
0.55	0.07238
0.65	0.08710
0.75	0.10507
0.85	0.13177
0.95	0.15324
1.10	0.20128
1.30	0.31708
1.50	0.54394
1.70	0.98206
1.90	0.96396
2.10	0.28426
2.30	0.16459
2.50	0.11642
2.70	0.10270
2.90	0.07475
3.10	0.07787
3.30	0.05191
3.50	0.05228
3.70	0.04679
3.90	0.05253
4.10	0.03170
4.30	0.02296
4.50	0.03294
4.70	0.03756
4.90	0.01610
5.10	0.04180
5.30	0.01772
5.50	0.00362
5.70	0.04367
5.90	0.01198
6.10	0.00749
6.30	0.00936
6.50	0.00774
6.70	0.00586
6.90	-0.01073
7.10	0.00349
7.30	0.06975
7.50	-0.01872
7.70	-0.00824
7.90	0.01061
8.10	0.01273
8.30	0.03282
8.50	-0.01859
8.70	0.03170
8.90	0.01460
9.10	-0.01872
9.30	0.00811
9.50	-0.00686
9.70	0.02508
9.90	0.01111
10.50	0.00127
11.50	0.00419
12.50	0.00586
13.50	0.00040
14.50	0.00232
15.50	-0.00202
16.50	0.00489
17.50	-0.00324
18.50	0.00599
19.50	-0.00260
21.00	0.00281
23.00	-0.00054
25.00	-0.00190
27.00	0.00384
29.00	-0.00397
31.00	0.00080
33.00	-0.00122
35.00	0.00072
37.00	-0.00141
39.00	0.00520
41.00	-0.00011
43.00	-0.00124
45.00	0.00079
47.00	-0.00171
49.00	0.00059
51.00	0.00041
53.00	-0.00042
55.00	0.00218
57.00	-0.00293
59.00	0.00135
62.50	-0.00068
67.50	0.00015
72.50	0.00084
77.50	-0.00043
82.50	-0.00106
87.50	0.00035
92.50	0.00005
97.50	0.00122
105.00	-0.00055
115.00	0.00051
125.00	-0.00026
135.00	0.00017
145.00	-0.00022
155.00	0.00072
165.00	-0.00027
175.00	-0.00083
185.00	-0.00012
195.00	0.00065
210.00	0.00029
230.00	-0.00023
250.00	0.00002
270.00	0.00012
290.00	-0.00025
310.00	0.00040
330.00	-0.00026
350.00	-0.00019
370.00	-0.00007
390.00	0.00026
410.00	-0.00008
430.00	0.00017
450.00	-0.00031
470.00	0.00001
490.00	0.00020
510.00	-0.00006
530.00	-0.00007
550.00	0.00028
570.00	-0.00044
590.00	0.00005
610.00	0.00021
630.00	-0.00016
650.00	0.00002
670.00	0.00001
690.00	0.00020
710.00	0.00003
730.00	0.00010
750.00	-0.00042
770.00	0.00021
790.00	-0.00026
810.00	-0.00008
830.00	0.00029
850.00	-0.00015
870.00	0.00009
890.00	-0.00042
910.00	0.00010
930.00	0.00022
950.00	0.00012
970.00	0.00030
990.00	-0.00056
