q	Derivada
0.15	0.03828
0.25	0.04625
0.35	0.05901
0.45	0.06539
0.55	0.07815
0.65	0.09569
0.75	0.10686
0.85	0.14035
0.95	0.16906
1.10	0.23764
1.30	0.38198
1.50	0.63317
1.70	0.90989
1.90	0.65550
2.10	0.34051
2.30	0.20016
2.50	0.13716
2.70	0.10845
2.90	0.07895
3.10	0.06699
3.30	0.08134
3.50	0.05981
3.70	0.05343
3.90	0.04226
4.10	0.03589
4.30	0.02073
4.50	0.03668
4.70	0.02313
4.90	0.03987
5.10	0.01356
5.30	0.03110
5.50	0.03987
5.70	-0.00399
5.90	0.01675
6.10	0.02233
6.30	0.02951
6.50	-0.03030
6.70	0.00159
6.90	0.02871
7.10	0.02632
7.30	0.02472
7.50	0.01994
7.70	0.01037
7.90	0.01356
8.10	-0.01834
8.30	-0.02313
8.50	-0.00239
8.70	0.04705
8.90	0.01037
9.10	-0.01914
9.30	0.01595
9.50	0.01116
9.70	0.01037
9.90	-0.01276
10.50	0.01404
11.50	-0.00718
12.50	0.00590
13.50	-0.00303
14.50	0.00542
15.50	0.00255
16.50	0.00191
17.50	-0.00048
18.50	0.00383
19.50	-0.00383
21.00	0.00199
23.00	0.00072
25.00	0.00207
27.00	-0.00463
29.00	0.00375
31.00	-0.00016
33.00	-0.00255
35.00	0.00104
37.00	0.00000
39.00	0.00128
41.00	-0.00088
43.00	0.00144
45.00	-0.00343
47.00	0.00072
49.00	0.00407
51.00	-0.00255
53.00	-0.00040
55.00	-0.00120
57.00	0.00048
59.00	0.00566
62.50	-0.00134
67.50	0.00003
72.50	0.00054
77.50	-0.00003
82.50	-0.00064
87.50	-0.00061
92.50	0.00204
97.50	-0.00204
105.00	-0.00014
115.00	0.00123
125.00	-0.00027
135.00	-0.00046
145.00	0.00026
155.00	-0.00006
165.00	-0.00003
175.00	-0.00032
185.00	0.00029
195.00	-0.00057
210.00	0.00017
230.00	0.00006
250.00	-0.00009
270.00	-0.00026
290.00	0.00053
310.00	0.00005
330.00	-0.00051
350.00	0.00041
370.00	0.00013
390.00	-0.00023
410.00	-0.00006
430.00	-0.00017
450.00	0.00029
470.00	0.00036
490.00	-0.00078
510.00	0.00048
530.00	0.00002
550.00	0.00000
570.00	-0.00043
590.00	0.00057
610.00	0.00010
630.00	-0.00068
650.00	0.00034
670.00	-0.00036
690.00	0.00059
710.00	-0.00022
730.00	-0.00004
750.00	-0.00004
770.00	-0.00019
790.00	0.00008
810.00	0.00005
830.00	0.00032
850.00	0.00012
870.00	-0.00035
890.00	0.00006
910.00	-0.00007
930.00	0.00005
950.00	0.00008
970.00	-0.00014
990.00	0.00017
