q	Afinidade
0.1	0.003
0.2	0.007
0.3	0.011
0.4	0.016
0.5	0.022
0.6	0.029
0.7	0.038
0.8	0.049
0.9	0.062
1.0	0.077
1.2	0.117
1.4	0.181
1.6	0.290
1.8	0.486
2.0	0.679
2.2	0.736
2.4	0.768
2.6	0.792
2.8	0.812
3.0	0.827
3.2	0.843
3.4	0.853
3.6	0.864
3.8	0.873
4.0	0.884
4.2	0.890
4.4	0.894
4.6	0.901
4.8	0.909
5.0	0.912
5.2	0.920
5.4	0.924
5.6	0.924
5.8	0.933
6.0	0.936
6.2	0.937
6.4	0.939
6.6	0.940
6.8	0.942
7.0	0.940
7.2	0.940
7.4	0.954
7.6	0.950
7.8	0.949
8.0	0.951
8.2	0.953
8.4	0.960
8.6	0.956
8.8	0.963
9.0	0.966
9.2	0.962
9.4	0.963
9.6	0.962
9.8	0.967
10.0	0.969
11.0	0.971
12.0	0.975
13.0	0.981
14.0	0.981
15.0	0.983
16.0	0.981
17.0	0.986
18.0	0.983
19.0	0.989
20.0	0.986
22.0	0.992
24.0	0.991
26.0	0.987
28.0	0.995
30.0	0.987
32.0	0.988
34.0	0.986
36.0	0.987
38.0	0.985
40.0	0.995
42.0	0.995
44.0	0.992
46.0	0.994
48.0	0.990
50.0	0.992
52.0	0.992
54.0	0.992
56.0	0.996
58.0	0.990
60.0	0.993
65.0	0.989
70.0	0.990
75.0	0.994
80.0	0.992
85.0	0.987
90.0	0.989
95.0	0.989
100.0	0.995
110.0	0.990
120.0	0.995
130.0	0.992
140.0	0.994
150.0	0.991
160.0	0.999
170.0	0.996
180.0	0.988
190.0	0.986
200.0	0.993
220.0	0.999
240.0	0.994
260.0	0.995
280.0	0.997
300.0	0.992
320.0	1.000
340.0	0.995
360.0	0.991
380.0	0.990
400.0	0.995
420.0	0.993
440.0	0.997
460.0	0.991
480.0	0.991
500.0	0.995
520.0	0.994
540.0	0.992
560.0	0.998
580.0	0.989
600.0	0.990
620.0	0.994
640.0	0.991
660.0	0.991
680.0	0.992
700.0	0.996
720.0	0.996
740.0	0.998
760.0	0.990
780.0	0.994
800.0	0.989
820.0	0.987
840.0	0.993
860.0	0.990
880.0	0.992
900.0	0.984
920.0	0.986
940.0	0.990
960.0	0.992
980.0	0.999
1000.0	0.987
