0,200	-9,6711	-10,124	-8,663	-9,6457	-8,48834         
0,400	-27,376	-32,032	-29,594	-29,709	-30,0353         
0,600	-68,394	-68,344	-66,385	-74,309	-71,6191         
0,800	-122,29	-121,15	-122,29	-116,4	-121,412         
10,000	-7519,3	-7334,9	-7305,4	-7415,1	-7381,38         
1,000	-160,09	-155,3	-163,3	-165,05	-161,055         
11,000	-7542,7	-7455,5	-7520,1	-7451,9	-7421,24         
12,000	-7627,8	-7452,6	-7657,9	-7441,6	-7577,0            
1,200	-207,50	-205,32	-201,85	-207,31	-207,886         
13,000	-7516,8	-7616,8	-7614,0	-7668,3	-7620,11         
1,399	-251,81	-252,08	-255,75	-257,40	-258,434         
14,000	-7671,2	-7597,3	-7650,1	-7704,9	-7652,7          
15,000	-7739,3	-7745,2	-7785,4	-7674,8	-7690,68         
16,000	-7699,5	-7731,0	-7648,2	-7687,5	-7676,22         
1,600	-318,0	-321,42	-319,61	-321,08	-325,476         
17,000	-7752,0	-7896,1	-8041,6	-7831,4	-7833,44         
1,799	-392,21	-391,53	-399,80	-398,99	-394,768         
18,000	-7842,8	-7626,6	-7749,6	-7918,1	-7792,07         
19,000	-7826,8	-7635,4	-7781,7	-7828,2	-7821,21         
20,000	-7788,3	-7807,5	-7720,0	-7829,9	-7790,97         
2,000	-469,69	-475,0	-473,48	-471,98	-473,053         
22,000	-7798,0	-7682,3	-7748,3	-7873,4	-7872,67         
2,200	-545,9	-550,98	-547,74	-555,21	-554,21          
24,000	-7830,8	-7761,2	-7773,4	-7934,5	-7809,83         
2,400	-635,61	-633,25	-628,95	-627,6	-635,807         
2,599	-725,63	-727,21	-724,83	-727,53	-730,307         
26,000	-8011,5	-8085,9	-7776,7	-7835,6	-7866,77         
2,799	-854,09	-853,04	-846,66	-859,02	-850,754         
28,000	-8006,9	-7802,8	-7889,4	-7917,5	-7839,23         
30,000	-7944,1	-7955,5	-8017,8	-7874,6	-7842,47         
3,000	-1016,1	-1015,2	-1022,5	-1010,8	-1013,43         
32,000	-7835,9	-7850,5	-7787,0	-7802,8	-8011,75         
3,200	-1193,2	-1185,9	-1185,8	-1189,2	-1189,34         
34,000	-7810,6	-7800,2	-7924,7	-7811,2	-7951,92         
3,400	-1370,9	-1378,8	-1378,1	-1378,8	-1376,48         
3,599	-1577,6	-1588,3	-1574,8	-1570,0	-1582,83         
36,000	-7882,9	-7936,9	-7749,0	-7890,5	-7849,03         
3,799	-1812,0	-1814,6	-1820,0	-1818,9	-1807,97         
38,000	-7956,5	-7910,7	-7929,3	-7912,9	-7948,6          
40,000	-7905,0	-8019,2	-7723,6	-7836,4	-7969,89         
4,000	-2095,0	-2098,2	-2088,4	-2085,4	-2090,09         
4,199	-2417,9	-2412,2	-2417,2	-2414,9	-2422,62         
42,000	-8038,0	-7811,4	-7872,6	-8036,6	-7904,59         
44,000	-7868,5	-8134,3	-7875,3	-7750,8	-7917,1          
4,400	-2804,6	-2794,1	-2798,6	-2799,4	-2799,48         
4,599	-3254,6	-3250,0	-3251,1	-3254,3	-3245,68         
46,000	-7823,8	-7933,7	-7872,1	-7938,8	-7889,68         
48,000	-7909,2	-8010,5	-8013,1	-7989,4	-7928,4          
4,800	-3789,6	-3785,7	-3790,7	-3789,8	-3788,28         
50,000	-8044,0	-8035,5	-8029,1	-7857,9	-7946,35         
5,000	-4451,0	-4453,0	-4417,7	-4436,5	-4437,06         
5,199	-5185,5	-5175,9	-5186,5	-5218,6	-5189,61         
5,400	-5777,8	-5779,5	-5757,1	-5766,1	-5765,47         
5,599	-6100,9	-6119,4	-6084,1	-6101,4	-6096,3          
5,800	-6287,7	-6336,1	-6313,3	-6287,5	-6320,28         
6,000	-6479,1	-6425,4	-6436,3	-6466,3	-6422,1          
6,199	-6564,7	-6511,1	-6486,5	-6574,3	-6579,72         
6,400	-6631,7	-6659,5	-6655,1	-6673,5	-6675,32         
6,599	-6730,4	-6714,2	-6708,8	-6708,7	-6699,94         
6,800	-6824,7	-6782,7	-6762,1	-6799,7	-6814,36         
7,000	-6891,6	-6864,9	-6826,1	-6866,0	-6842,78         
7,199	-6983,9	-6909,1	-6912,3	-6938,3	-6976,12         
7,400	-6980,4	-6980,3	-6986,0	-7026,6	-7007,08         
7,599	-7008,8	-7051,4	-7011,8	-6973,2	-7088,85         
7,800	-7033,3	-7103,1	-7074,4	-7069,5	-7068,33         
8,000	-7188,9	-7110,1	-7147,2	-7104,4	-7076,27         
8,199	-7058,4	-7129,6	-7170,6	-7160,3	-7237,09         
8,399	-7327,2	-7219,1	-7163,5	-7116,7	-7202,89         
8,600	-7223,7	-7256,9	-7204,7	-7136,7	-7274,1          
8,800	-7322,0	-7183,1	-7249,3	-7207,2	-7226,58         
9,000	-7202,9	-7247,7	-7176,0	-7302,0	-7255,17         
9,199	-7350,7	-7286,4	-7329,2	-7319,6	-7364,82         
9,399	-7259,3	-7380,8	-7292,8	-7360,3	-7327,58         
9,600	-7287,4	-7371,5	-7288,0	-7491,2	-7324,79         
9,800	-7456,9	-7296,8	-7381,2	-7329,6	-7399,57
