q       Afini   Avg         M1          M2          M3          M4          M5
26.0	0.984	-1236.05	-1245.60	-1224.40	-1230.50	-1225.10	-1254.65
28.0	0.978	-1229.10	-1218.10	-1227.30	-1219.80	-1240.20	-1240.11
30.0	0.981	-1232.56	-1256.10	-1229.50	-1210.70	-1228.30	-1238.22
32.0	0.982	-1234.56	-1225.70	-1250.80	-1221.20	-1230.00	-1245.09
34.0	0.805	-1011.38	-1227.00	-1240.20	-1220.00	-1244.20	-1230.49
36.0	0.985	-1238.08	-1229.50	-1237.40	-1238.90	-1262.00	-1222.62
38.0	0.984	-1236.73	-1264.00	-1243.90	-1220.50	-1221.00	-1234.25
40.0	0.978	-1228.73	-1238.00	-1207.10	-1248.20	-1218.80	-1231.57
42.0	0.983	-1235.02	-1217.00	-1236.40	-1231.50	-1249.30	-1240.89
44.0	0.985	-1237.37	-1243.70	-1242.00	-1233.50	-1230.60	-1237.04
46.0	0.975	-1224.76	-1206.40	-1238.30	-1246.80	-1219.10	-1213.21
48.0	0.986	-1239.57	-1248.90	-1236.50	-1237.60	-1254.90	-1219.97
50.0	0.995	-1249.75	-1267.10	-1243.10	-1245.90	-1251.80	-1240.86
